Pack DIR-Lab → iso 2.0mm 160³  n=10
[P1_DIR] CT_01 HU[-1024,13616]
[P6_DIR] wrote /home/abhishek/Voxel_GAN/PopulationStudy/DIR-Experiments/Experiment2/packed_iso/P6_DIR/all mask_vox=669288
[P7_DIR] CT_01 HU[-1024,3071]
[P7_DIR] CT_02 HU[-1024,3071]
[P7_DIR] CT_03 HU[-1024,3071]
[P7_DIR] CT_04 HU[-1024,3071]
[P7_DIR] CT_05 HU[-1024,3071]
[P7_DIR] CT_06 HU[-1024,3071]
[P7_DIR] CT_07 HU[-1024,3071]
[P7_DIR] CT_08 HU[-1024,3071]
[P7_DIR] CT_09 HU[-1024,3071]
[P7_DIR] CT_10 HU[-1024,3071]
[P7_DIR] wrote /home/abhishek/Voxel_GAN/PopulationStudy/DIR-Experiments/Experiment2/packed_iso/P7_DIR/all mask_vox=805888
[P8_DIR] CT_01 HU[-1024,3071]
[P8_DIR] CT_02 HU[-1024,3071]
[P8_DIR] CT_03 HU[-1024,3071]
[P8_DIR] CT_04 HU[-1024,3071]
[P8_DIR] CT_05 HU[-1024,3071]
[P8_DIR] CT_06 HU[-1024,3071]
[P8_DIR] CT_07 HU[-1024,3071]
[P8_DIR] CT_08 HU[-1024,3071]
[P8_DIR] CT_09 HU[-1024,3071]
[P8_DIR] CT_10 HU[-1024,3071]
[P8_DIR] wrote /home/abhishek/Voxel_GAN/PopulationStudy/DIR-Experiments/Experiment2/packed_iso/P8_DIR/all mask_vox=1074499
[P9_DIR] CT_01 HU[-1024,3071]
[P9_DIR] CT_02 HU[-1024,3071]
[P9_DIR] CT_03 HU[-1024,3071]
[P9_DIR] CT_04 HU[-1024,3071]
[P9_DIR] CT_05 HU[-1024,3071]
[P9_DIR] CT_06 HU[-1024,3071]
[P9_DIR] CT_07 HU[-1024,3071]
[P9_DIR] CT_08 HU[-1024,3071]
[P9_DIR] CT_09 HU[-1024,3071]
[P9_DIR] CT_10 HU[-1024,3071]
[P9_DIR] wrote /home/abhishek/Voxel_GAN/PopulationStudy/DIR-Experiments/Experiment2/packed_iso/P9_DIR/all mask_vox=484878
[P10_DIR] CT_01 HU[-1024,3071]
[P10_DIR] CT_02 HU[-1024,3071]
[P10_DIR] CT_03 HU[-1024,3071]
[P10_DIR] CT_04 HU[-1024,3071]
[P10_DIR] CT_05 HU[-1024,3071]
[P10_DIR] CT_06 HU[-1024,3071]
[P10_DIR] CT_07 HU[-1024,3071]
[P10_DIR] CT_08 HU[-1024,3071]
[P10_DIR] CT_09 HU[-1024,3071]
[P10_DIR] CT_10 HU[-1024,3071]
[P10_DIR] wrote /home/abhishek/Voxel_GAN/PopulationStudy/DIR-Experiments/Experiment2/packed_iso/P10_DIR/all mask_vox=722380
DONE → /home/abhishek/Voxel_GAN/PopulationStudy/DIR-Experiments/Experiment2/packed_iso
